timestamp,federation,strategy,num_server_rounds,local_epochs,repeat,exit_code,duration_sec
2025-09-23T02:12:35+00:00,small-simulation,0,5,5,19,0,128
2025-09-23T02:14:49+00:00,small-simulation,0,5,5,20,0,133
2025-09-23T02:16:58+00:00,small-simulation,0,5,5,21,0,128
2025-09-23T02:18:57+00:00,small-simulation,0,5,5,22,0,118
2025-09-23T02:21:15+00:00,small-simulation,0,5,5,23,0,137
2025-09-23T02:23:26+00:00,small-simulation,0,5,5,24,0,130
2025-09-23T02:25:30+00:00,small-simulation,0,5,5,25,0,123
2025-09-23T02:27:38+00:00,small-simulation,0,5,5,26,0,127
2025-09-23T02:29:51+00:00,small-simulation,0,5,5,27,0,132
2025-09-23T02:31:49+00:00,small-simulation,0,5,5,28,0,117
2025-09-23T02:34:01+00:00,small-simulation,0,5,5,29,0,131
2025-09-23T02:36:15+00:00,small-simulation,0,5,5,30,0,133
2025-09-23T02:37:35+00:00,small-simulation,0,10,1,1,0,79
2025-09-23T02:38:54+00:00,small-simulation,0,10,1,2,0,78
2025-09-23T02:40:18+00:00,small-simulation,0,10,1,3,0,83
2025-09-23T02:41:39+00:00,small-simulation,0,10,1,4,0,80
2025-09-23T02:43:02+00:00,small-simulation,0,10,1,5,0,82
2025-09-23T02:44:20+00:00,small-simulation,0,10,1,6,0,77
2025-09-23T02:45:39+00:00,small-simulation,0,10,1,7,0,78
2025-09-23T02:47:00+00:00,small-simulation,0,10,1,8,0,80
2025-09-23T02:48:24+00:00,small-simulation,0,10,1,9,0,83
2025-09-23T02:49:47+00:00,small-simulation,0,10,1,10,0,82
2025-09-23T02:51:09+00:00,small-simulation,0,10,1,11,0,81
2025-09-23T02:52:29+00:00,small-simulation,0,10,1,12,0,79
2025-09-23T02:53:51+00:00,small-simulation,0,10,1,13,0,81
2025-09-23T02:55:13+00:00,small-simulation,0,10,1,14,0,81
2025-09-23T02:56:31+00:00,small-simulation,0,10,1,15,0,77
2025-09-23T02:57:58+00:00,small-simulation,0,10,1,16,0,86
2025-09-23T02:59:16+00:00,small-simulation,0,10,1,17,0,77
2025-09-23T03:00:30+00:00,small-simulation,0,10,1,18,0,73
2025-09-23T03:01:49+00:00,small-simulation,0,10,1,19,0,78
2025-09-23T03:03:13+00:00,small-simulation,0,10,1,20,0,83
2025-09-23T03:04:39+00:00,small-simulation,0,10,1,21,0,85
2025-09-23T03:05:58+00:00,small-simulation,0,10,1,22,0,78
2025-09-23T03:07:16+00:00,small-simulation,0,10,1,23,0,77
2025-09-23T03:08:39+00:00,small-simulation,0,10,1,24,0,82
2025-09-23T03:09:57+00:00,small-simulation,0,10,1,25,0,77
2025-09-23T03:11:19+00:00,small-simulation,0,10,1,26,0,81
2025-09-23T03:12:35+00:00,small-simulation,0,10,1,27,0,75
2025-09-23T03:13:59+00:00,small-simulation,0,10,1,28,0,83
2025-09-23T03:15:25+00:00,small-simulation,0,10,1,29,0,85
2025-09-23T03:16:42+00:00,small-simulation,0,10,1,30,0,76
2025-09-23T03:18:59+00:00,small-simulation,0,10,3,1,0,136
2025-09-23T03:21:12+00:00,small-simulation,0,10,3,2,0,132
2025-09-23T03:23:26+00:00,small-simulation,0,10,3,3,0,133
2025-09-23T03:25:45+00:00,small-simulation,0,10,3,4,0,138
2025-09-23T03:27:50+00:00,small-simulation,0,10,3,5,0,124
2025-09-23T03:30:07+00:00,small-simulation,0,10,3,6,0,136
